service	usage_type	item_description	name	unblended_cost
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtstore2-prd /dev/xvda	1.105959435
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtaudit3-prd /dev/xvda	1.09679921
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtexpress-prd-2a	1.094843675
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest03-prd /dev/xvda	1.091831719
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtaudit2-prd /dev/xvda	1.087298573
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtdataone-prd /dev/xvda	1.08492423
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtistatus-prd /dev/xvda	1.080092104
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtdat1-dev /dev/xvda	1.073849733
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtui02-prd /dev/xvda	1.073364611
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest01-prd /dev/xvda	1.067891794
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtistatus-prd	1.050018218
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtexpress-dev /dev/sdb	1.049999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtexpress-stg /dev/sdb	1.049999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb2-stg /dev/sdb	1.049999976
