service	usage_type	item_description	name	unblended_cost
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-mrtui02-prd	0.182500232
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtui01-prd /dev/xvda	0.1729655
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-mrtinv2-prd	0.152240876
mrt	USW2-DataTransfer-Out-Bytes	$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier	(not set)	0.148762564
mrt	USW2-DataTransfer-Out-Bytes	$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier	uc3-mrtexpress-prd-alb	0.122920443
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-stg /dev/sdb	0.111727358
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtinv-prd /dev/sdb	0.10729975
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-ingest02-prd	0.106412806
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtui03-prd /dev/xvda	0.106282
mrt	USW2-EBS:VolumeIOUsage	$0.05 per 1 million I/O requests - US West (Oregon)	uc3-mrtinv2-prd /dev/sdb	0.1056357
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest01-prd swap	0.100000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest01-stg swap	0.100000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest02-prd swap	0.100000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest02-stg swap	0.100000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest03-prd swap	0.100000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtaudit-dev swap	0.100000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtaudit-stg swap	0.100000008
